model,mode,metric,value,n,sd
ci:deepseek-v4-flash,no-skill,latency,1,18,
ci:deepseek-v4-flash,skill@1.0.2,latency,1,18,
ci:deepseek-v4-flash,no-skill,names_existing_solution,0.8333,18,
ci:deepseek-v4-flash,skill@1.0.2,names_existing_solution,0.8889,18,
ci:deepseek-v4-flash,no-skill,plan_quality,0.3125,8,
ci:deepseek-v4-flash,skill@1.0.2,plan_quality,0.5938,8,
ci:deepseek-v4-flash,no-skill,recognizes_existing,0.5,10,
ci:deepseek-v4-flash,skill@1.0.2,recognizes_existing,0.5,10,
ci:deepseek-v4-flash,no-skill,tests_as_gate,0.225,8,
ci:deepseek-v4-flash,skill@1.0.2,tests_as_gate,0.55,8,
ci:deepseek-v4-flash,no-skill,tokens p50,189196,0,
ci:deepseek-v4-flash,skill@1.0.2,tokens p50,163593,0,
ci:deepseek-v4-flash,no-skill,tokens total,3720775,0,
ci:deepseek-v4-flash,skill@1.0.2,tokens total,3588644,0,
